x,y,z
112,113,
118,120,
132,132,132
129,132,129
121,118,121
135,137,135
148,150,148
148,149,
136,133,
119,122,
104,102,104
118,119,118
115,114,115
126,127,126
141,140,141
135,136,135
125,122,125
149,151,149
170,170,170
170,167,170
158,158,158
133,136,133
114,113,114
140,140,140
145,146,
150,147,150
178,175,
163,162,163
172,173,
178,181,178
199,199,199
199,199,199
184,182,184
162,159,162
146,147,
166,163,
171,174,
180,180,
193,190,
181,182,181
183,183,183
218,220,218
230,232,230
242,242,242
209,209,209
191,192,191
172,171,172
194,196,194
196,193,196
196,194,196
236,239,236
235,233,235
229,230,229
243,244,243
264,267,264
272,273,272
237,237,237
211,214,211
180,179,
201,200,201
204,203,204
188,188,188
235,237,235
227,228,227
234,234,234
264,263,
302,305,302
293,295,293
259,261,259
229,226,229
203,203,203
229,229,229
242,241,
233,230,233
267,269,
269,270,269
270,268,270
315,315,315
364,366,364
347,344,347
312,315,
274,272,274
237,236,237
278,280,278
284,285,284
277,280,277
317,320,317
313,316,313
318,317,
374,373,374
413,411,413
405,402,405
355,353,355
306,308,306
271,270,271
306,308,
315,315,315
301,298,301
356,358,356
348,346,
355,356,355
422,420,422
465,468,
467,469,467
404,402,404
347,349,347
305,303,305
336,336,336
340,338,340
318,317,318
362,363,362
348,347,348
363,365,363
435,435,435
491,490,491
505,503,
404,404,404
359,356,359
310,308,310
337,334,337
360,362,360
342,341,342
406,405,406
396,399,396
420,417,420
472,469,
548,545,548
559,560,559
463,461,463
407,409,407
362,364,
405,404,405
417,416,417
391,392,391
419,419,
461,464,
472,469,472
535,534,535
622,623,
606,605,606
508,507,508
461,458,461
390,393,390
432,431,432
